Cumparare,Vanzare,Curs BNM,Valuta,Date
19.55,19.88,19.7508,EUR,2025-11-01
16.83,17.18,17.0295,USD,2025-11-01
22.20,22.65,22.4413,GBP,2025-11-01
3.81,3.91,3.8834,RON,2025-11-01
0.34,0.42,0.4058,UAH,2025-11-01
20.95,21.45,21.2694,CHF,2025-11-01
-,-,-,RUB,2025-11-01
19.55,19.88,19.7508,EUR,2025-11-02
16.83,17.18,17.0295,USD,2025-11-02
22.20,22.65,22.4413,GBP,2025-11-02
3.81,3.91,3.8834,RON,2025-11-02
0.34,0.42,0.4058,UAH,2025-11-02
20.95,21.45,21.2694,CHF,2025-11-02
-,-,-,RUB,2025-11-02
19.55,19.88,19.7508,EUR,2025-11-03
16.83,17.18,17.0295,USD,2025-11-03
22.20,22.65,22.4413,GBP,2025-11-03
3.81,3.91,3.8834,RON,2025-11-03
0.34,0.42,0.4058,UAH,2025-11-03
20.95,21.45,21.2694,CHF,2025-11-03
-,-,-,RUB,2025-11-03
19.55,19.88,19.7508,EUR,2025-11-04
16.83,17.18,17.0295,USD,2025-11-04
22.20,22.65,22.4413,GBP,2025-11-04
3.81,3.91,3.8834,RON,2025-11-04
0.34,0.42,0.4058,UAH,2025-11-04
20.95,21.45,21.2694,CHF,2025-11-04
-,-,-,RUB,2025-11-04
19.55,19.88,19.7508,EUR,2025-11-05
16.83,17.18,17.0295,USD,2025-11-05
22.20,22.65,22.4413,GBP,2025-11-05
3.81,3.91,3.8834,RON,2025-11-05
0.34,0.42,0.4058,UAH,2025-11-05
20.95,21.45,21.2694,CHF,2025-11-05
-,-,-,RUB,2025-11-05
19.55,19.88,19.7508,EUR,2025-11-06
16.83,17.18,17.0295,USD,2025-11-06
22.20,22.65,22.4413,GBP,2025-11-06
3.81,3.91,3.8834,RON,2025-11-06
0.34,0.42,0.4058,UAH,2025-11-06
20.95,21.45,21.2694,CHF,2025-11-06
-,-,-,RUB,2025-11-06
19.55,19.88,19.7508,EUR,2025-11-07
16.83,17.18,17.0295,USD,2025-11-07
22.20,22.65,22.4413,GBP,2025-11-07
3.81,3.91,3.8834,RON,2025-11-07
0.34,0.42,0.4058,UAH,2025-11-07
20.95,21.45,21.2694,CHF,2025-11-07
-,-,-,RUB,2025-11-07
19.55,19.88,19.7508,EUR,2025-11-08
16.83,17.18,17.0295,USD,2025-11-08
22.20,22.65,22.4413,GBP,2025-11-08
3.81,3.91,3.8834,RON,2025-11-08
0.34,0.42,0.4058,UAH,2025-11-08
20.95,21.45,21.2694,CHF,2025-11-08
-,-,-,RUB,2025-11-08
19.55,19.88,19.7508,EUR,2025-11-09
16.83,17.18,17.0295,USD,2025-11-09
22.20,22.65,22.4413,GBP,2025-11-09
3.81,3.91,3.8834,RON,2025-11-09
0.34,0.42,0.4058,UAH,2025-11-09
20.95,21.45,21.2694,CHF,2025-11-09
-,-,-,RUB,2025-11-09
19.55,19.88,19.7508,EUR,2025-11-10
16.83,17.18,17.0295,USD,2025-11-10
22.20,22.65,22.4413,GBP,2025-11-10
3.81,3.91,3.8834,RON,2025-11-10
0.34,0.42,0.4058,UAH,2025-11-10
20.95,21.45,21.2694,CHF,2025-11-10
-,-,-,RUB,2025-11-10
19.55,19.88,19.7508,EUR,2025-11-11
16.83,17.18,17.0295,USD,2025-11-11
22.20,22.65,22.4413,GBP,2025-11-11
3.81,3.91,3.8834,RON,2025-11-11
0.34,0.42,0.4058,UAH,2025-11-11
20.95,21.45,21.2694,CHF,2025-11-11
-,-,-,RUB,2025-11-11
19.55,19.88,19.7508,EUR,2025-11-12
16.83,17.18,17.0295,USD,2025-11-12
22.20,22.65,22.4413,GBP,2025-11-12
3.81,3.91,3.8834,RON,2025-11-12
0.34,0.42,0.4058,UAH,2025-11-12
20.95,21.45,21.2694,CHF,2025-11-12
-,-,-,RUB,2025-11-12
19.55,19.88,19.7508,EUR,2025-11-13
16.83,17.18,17.0295,USD,2025-11-13
22.20,22.65,22.4413,GBP,2025-11-13
3.81,3.91,3.8834,RON,2025-11-13
0.34,0.42,0.4058,UAH,2025-11-13
20.95,21.45,21.2694,CHF,2025-11-13
-,-,-,RUB,2025-11-13
19.55,19.88,19.7508,EUR,2025-11-14
16.83,17.18,17.0295,USD,2025-11-14
22.20,22.65,22.4413,GBP,2025-11-14
3.81,3.91,3.8834,RON,2025-11-14
0.34,0.42,0.4058,UAH,2025-11-14
20.95,21.45,21.2694,CHF,2025-11-14
-,-,-,RUB,2025-11-14
19.55,19.88,19.7508,EUR,2025-11-15
16.83,17.18,17.0295,USD,2025-11-15
22.20,22.65,22.4413,GBP,2025-11-15
3.81,3.91,3.8834,RON,2025-11-15
0.34,0.42,0.4058,UAH,2025-11-15
20.95,21.45,21.2694,CHF,2025-11-15
-,-,-,RUB,2025-11-15
19.55,19.88,19.7508,EUR,2025-11-16
16.83,17.18,17.0295,USD,2025-11-16
22.20,22.65,22.4413,GBP,2025-11-16
3.81,3.91,3.8834,RON,2025-11-16
0.34,0.42,0.4058,UAH,2025-11-16
20.95,21.45,21.2694,CHF,2025-11-16
-,-,-,RUB,2025-11-16
19.55,19.88,19.7508,EUR,2025-11-17
16.83,17.18,17.0295,USD,2025-11-17
22.20,22.65,22.4413,GBP,2025-11-17
3.81,3.91,3.8834,RON,2025-11-17
0.34,0.42,0.4058,UAH,2025-11-17
20.95,21.45,21.2694,CHF,2025-11-17
-,-,-,RUB,2025-11-17
19.55,19.88,19.7508,EUR,2025-11-18
16.83,17.18,17.0295,USD,2025-11-18
22.20,22.65,22.4413,GBP,2025-11-18
3.81,3.91,3.8834,RON,2025-11-18
0.34,0.42,0.4058,UAH,2025-11-18
20.95,21.45,21.2694,CHF,2025-11-18
-,-,-,RUB,2025-11-18
19.55,19.88,19.7508,EUR,2025-11-19
16.83,17.18,17.0295,USD,2025-11-19
22.20,22.65,22.4413,GBP,2025-11-19
3.81,3.91,3.8834,RON,2025-11-19
0.34,0.42,0.4058,UAH,2025-11-19
20.95,21.45,21.2694,CHF,2025-11-19
-,-,-,RUB,2025-11-19
19.55,19.88,19.7508,EUR,2025-11-20
16.83,17.18,17.0295,USD,2025-11-20
22.20,22.65,22.4413,GBP,2025-11-20
3.81,3.91,3.8834,RON,2025-11-20
0.34,0.42,0.4058,UAH,2025-11-20
20.95,21.45,21.2694,CHF,2025-11-20
-,-,-,RUB,2025-11-20
19.55,19.88,19.7508,EUR,2025-11-21
16.83,17.18,17.0295,USD,2025-11-21
22.20,22.65,22.4413,GBP,2025-11-21
3.81,3.91,3.8834,RON,2025-11-21
0.34,0.42,0.4058,UAH,2025-11-21
20.95,21.45,21.2694,CHF,2025-11-21
-,-,-,RUB,2025-11-21
19.55,19.88,19.7508,EUR,2025-11-22
16.83,17.18,17.0295,USD,2025-11-22
22.20,22.65,22.4413,GBP,2025-11-22
3.81,3.91,3.8834,RON,2025-11-22
0.34,0.42,0.4058,UAH,2025-11-22
20.95,21.45,21.2694,CHF,2025-11-22
-,-,-,RUB,2025-11-22
19.55,19.88,19.7508,EUR,2025-11-23
16.83,17.18,17.0295,USD,2025-11-23
22.20,22.65,22.4413,GBP,2025-11-23
3.81,3.91,3.8834,RON,2025-11-23
0.34,0.42,0.4058,UAH,2025-11-23
20.95,21.45,21.2694,CHF,2025-11-23
-,-,-,RUB,2025-11-23
19.55,19.88,19.7508,EUR,2025-11-24
16.83,17.18,17.0295,USD,2025-11-24
22.20,22.65,22.4413,GBP,2025-11-24
3.81,3.91,3.8834,RON,2025-11-24
0.34,0.42,0.4058,UAH,2025-11-24
20.95,21.45,21.2694,CHF,2025-11-24
-,-,-,RUB,2025-11-24
19.55,19.88,19.7508,EUR,2025-11-25
16.83,17.18,17.0295,USD,2025-11-25
22.20,22.65,22.4413,GBP,2025-11-25
3.81,3.91,3.8834,RON,2025-11-25
0.34,0.42,0.4058,UAH,2025-11-25
20.95,21.45,21.2694,CHF,2025-11-25
-,-,-,RUB,2025-11-25
19.55,19.88,19.7508,EUR,2025-11-26
16.83,17.18,17.0295,USD,2025-11-26
22.20,22.65,22.4413,GBP,2025-11-26
3.81,3.91,3.8834,RON,2025-11-26
0.34,0.42,0.4058,UAH,2025-11-26
20.95,21.45,21.2694,CHF,2025-11-26
-,-,-,RUB,2025-11-26
19.55,19.88,19.7508,EUR,2025-11-27
16.83,17.18,17.0295,USD,2025-11-27
22.20,22.65,22.4413,GBP,2025-11-27
3.81,3.91,3.8834,RON,2025-11-27
0.34,0.42,0.4058,UAH,2025-11-27
20.95,21.45,21.2694,CHF,2025-11-27
-,-,-,RUB,2025-11-27
19.55,19.88,19.7508,EUR,2025-11-28
16.83,17.18,17.0295,USD,2025-11-28
22.20,22.65,22.4413,GBP,2025-11-28
3.81,3.91,3.8834,RON,2025-11-28
0.34,0.42,0.4058,UAH,2025-11-28
20.95,21.45,21.2694,CHF,2025-11-28
-,-,-,RUB,2025-11-28
19.55,19.88,19.7508,EUR,2025-11-29
16.83,17.18,17.0295,USD,2025-11-29
22.20,22.65,22.4413,GBP,2025-11-29
3.81,3.91,3.8834,RON,2025-11-29
0.34,0.42,0.4058,UAH,2025-11-29
20.95,21.45,21.2694,CHF,2025-11-29
-,-,-,RUB,2025-11-29
19.55,19.88,19.7508,EUR,2025-11-30
16.83,17.18,17.0295,USD,2025-11-30
22.20,22.65,22.4413,GBP,2025-11-30
3.81,3.91,3.8834,RON,2025-11-30
0.34,0.42,0.4058,UAH,2025-11-30
20.95,21.45,21.2694,CHF,2025-11-30
-,-,-,RUB,2025-11-30
19.55,19.88,19.7508,EUR,2025-11-31
16.83,17.18,17.0295,USD,2025-11-31
22.20,22.65,22.4413,GBP,2025-11-31
3.81,3.91,3.8834,RON,2025-11-31
0.34,0.42,0.4058,UAH,2025-11-31
20.95,21.45,21.2694,CHF,2025-11-31
-,-,-,RUB,2025-11-31
